City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,yangiobod,41.1192,70.0941,11.89,83,100,0.32,UZ,1715485024
258,iguape,-24.7081,-47.5553,22.94,75,9,2.44,BR,1715485025
259,lesnoy,57.6198,63.0784,10.62,60,100,7.88,RU,1715485025
260,porto velho,-8.7619,-63.9039,25.03,94,0,0.0,BR,1715485025
261,valdivia,-39.8142,-73.2459,5.05,96,86,1.01,CL,1715485025
262,mandera,3.9366,41.867,26.86,74,69,4.75,KE,1715485026
263,alofi,-19.0595,-169.9187,26.94,54,38,6.69,NU,1715485026
264,narrabundah,-35.3357,149.1492,15.65,77,75,6.17,AU,1715485026
265,ciudad lazaro cardenas,17.9583,-102.2,23.5,80,60,1.11,MX,1715485026
266,richards bay,-28.783,32.0377,20.09,91,100,2.82,ZA,1715485026
267,nadi,-17.8,177.4167,28.0,51,75,7.72,FJ,1715485026
268,malango,-2.9627,119.9001,29.33,55,93,2.2,ID,1715485027
269,xining,36.6167,101.7667,20.45,37,0,2.4,CN,1715485004
270,ocean city,39.2776,-74.5746,11.1,74,88,3.58,US,1715485027
271,usogorsk,63.4106,48.6872,-1.11,94,100,2.47,RU,1715485027
272,noosa heads,-26.3833,153.15,24.63,75,39,3.72,AU,1715484821
273,quellon,-43.1167,-73.6167,4.4,84,13,2.39,CL,1715485020
274,brigantine,39.4101,-74.3646,10.57,79,84,6.71,US,1715485027
275,rajgarh,28.6333,75.3833,36.65,22,43,4.21,IN,1715485028
276,charleston,32.7766,-79.9309,20.01,89,0,2.06,US,1715485028
277,cabo san lucas,22.8909,-109.9124,27.17,31,20,3.6,MX,1715485028
278,zheleznogorsk-ilimskiy,56.5768,104.1217,13.54,89,100,2.24,RU,1715485028
279,new norfolk,-42.7826,147.0587,16.62,58,12,1.6,AU,1715485028
280,el salto,20.3333,-104.5,18.77,68,13,1.62,MX,1715484565
281,balikpapan,-1.2675,116.8289,24.55,100,75,2.06,ID,1715484471
282,amarante,-6.2411,-42.8547,23.34,75,95,0.78,BR,1715485029
283,yefremov,53.1481,38.0992,2.56,80,13,4.93,RU,1715485029
284,nytva,57.9404,55.334,2.94,91,100,3.82,RU,1715485029
285,marianna,30.7744,-85.2269,21.02,64,0,1.54,US,1715485029
286,amagunze,6.3267,7.6539,25.36,94,100,1.21,NG,1715485029
